title,url,authors,year,journal,abstract,citations
[BOOK][B]How learning works: Seven research-based principles for smart teaching,https://books.google.com/books?hl=en&lr=&id=6nGaDwAAQBAJ&oi=fnd&pg=PR13&dq=analogy+making&ots=KiYVYUXwTW&sig=qCgvfgYfFdKT-AahiMtAqxCIKCI,SA Ambrose,2010,books.google.com,"… tomakesure …analogyfor describing a complex phenomenon. For example, skeletalmuscles and cardiac muscles share some traits; hence, drawinganalogiesbetween themmakes…",5320
The evolution of large technological systems,https://books.google.com/books?hl=en&lr=&id=SUCtOwns7TEC&oi=fnd&pg=PA51&dq=analogy+making&ots=RyyH_Ibl2p&sig=mvuP96NDlpspf5f7x0ujf-tRkqQ,TP Hughes - The social construction of technological systems …,1987,books.google.com,… mix isanalogousto the management structure. The structure of a firm's technical system alsointeracts with its business strategy. Theseanalogousstructures and strategiesmakeup the …,4674
"[BOOK][B]Mathematics and plausible reasoning, Volume 1: Induction andanalogyin mathematics",https://books.google.com/books?hl=en&lr=&id=Y83xDwAAQBAJ&oi=fnd&pg=PP1&dq=analogy+making&ots=g0JCos7N44&sig=hOtlj8bcyd_8MJa1O4bQMkbrng0,G Polya,2020,books.google.com,… Yet mathematics in themakingresembles any other human knowledge in themaking. You… introduces another kind ofanalogywhich we may call theanalogybetween the infinite and …,2717
Revisiting the conceptualisation of pedagogical content knowledge (PCK): PCK as a conceptual tool to understand teachers as professionals,https://link.springer.com/article/10.1007/s11165-007-9049-6,S Park,2008,Springer,"… The next time I teach this I will have groupsmake“Wanted” … In the Statue Unit, studentswere asked tomakea decision on … Thus, she introduced ananalogytomakesure that we can …",2469
[BOOK][B]Political theory and international relations,https://books.google.com/books?hl=en&lr=&id=gFoA3gFqGUMC&oi=fnd&pg=PP9&dq=analogy+making&ots=R1Bx2cNBvR&sig=CNe15BFDeycFC8e4Spu22WV79pA,CR Beitz,1999,books.google.com,"… cism, the morality of statesmakesuse of theanalogyof states and … I argue in part two thattheanalogyof states and persons is … Finally, I return to theanalogyof international society and …",4771
[BOOK][B]The evolution of technology,https://books.google.com/books?hl=en&lr=&id=EBtnG36-1WIC&oi=fnd&pg=PA1&dq=analogy+making&ots=nLyJ2Sek59&sig=SRegqdKhHTgAaw0o4sWASKXCyWU,G Basalla,1988,books.google.com,"… nature of the evolutionaryanalogyand not by … Imakeexplicit and conscious use of mine.Although our choice of, and approach to, metaphors may differ, we share the same aim tomake…",3353
Constructive consumer choice processes,https://academic.oup.com/jcr/article-abstract/25/3/187/1795625,JR Bettman,1998,academic.oup.com,"… ofanalogiesclearly involves accuracy and effort considerations; ananalogycan provide away ofmakinga … with little effort, with accuracy depending on the goodness of theanalogy. …",4638
"[BOOK][B]Hydrodynamic fluctuations, broken symmetry, and correlation functions",https://www.taylorfrancis.com/books/mono/10.1201/9780429493683/hydrodynamic-fluctuations-broken-symmetry-correlation-functions-dieter-forster,D Forster- 2018,2018,taylorfrancis.com,"… of physicists has tended tomakethe familiar channels of … IN PHYSICS series is tomakesuch notes available to a wider … whichmakeit very convenient to exploit suchanalogies, and …",2776
[BOOK][B]Makingsense of secondary science: Research into children's ideas,https://www.taylorfrancis.com/books/mono/10.4324/9780203823583/making-sense-secondary-science-rosalind-driver,R Driver,1994,taylorfrancis.com,"… In particular, pupils tend to useanalogiesof animal feeding to explain plant nutrition, seeingplant roots as organs to 'ingest food' from the soil. Many pupils also think that carbon dioxide …",2585
Intelligence without representation,https://www.sciencedirect.com/science/article/pii/000437029190053M,RA Brooks- Artificial intelligence,1991,Elsevier,"… If one really wanted, one couldmakeananalogyof our networks to a blackboard control …I think this forcedanalogyindicates its own weakness. There is no flexibility at all on where …",8637
